Entity,Code,Year,Wind Generation -TWh
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.002
Africa,,1994,0.0054
Africa,,1995,0.0063
Africa,,1996,0.0071
Africa,,1997,0.0072
Africa,,1998,0.0076
Africa,,1999,0.0198
Africa,,2000,0.17600000000000002
Africa,,2001,0.41608
Africa,,2002,0.44458400000000003
Africa,,2003,0.541199
Africa,,2004,0.7692805050505049
Africa,,2005,0.7823821111111109
Africa,,2006,0.8525656060606059
Africa,,2007,1.0162233636393398
Africa,,2008,1.3121781313131298
Africa,,2009,1.5897309393954298
Africa,,2010,2.28418243433914
Africa,,2011,2.53747293937963
Africa,,2012,2.96173124049708
Africa,,2013,3.55978430255575
Africa,,2014,5.15812183421232
Africa,,2015,8.88828628262324
Africa,,2016,11.305820672793901
Africa,,2017,12.458179095742901
Africa,,2018,14.2877954133044
Africa,,2019,17.5080525020565
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.001
Algeria,DZA,2015,0.019
Algeria,DZA,2016,0.0190520547945205
Algeria,DZA,2017,0.019
Algeria,DZA,2018,0.01
Algeria,DZA,2019,0.01
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.009618000000000002
Argentina,ARG,1997,0.014591999999999999
Argentina,ARG,1998,0.032541
Argentina,ARG,1999,0.034781
Argentina,ARG,2000,0.034758
Argentina,ARG,2001,0.049361
Argentina,ARG,2002,0.073405
Argentina,ARG,2003,0.077954
Argentina,ARG,2004,0.07244600000000001
Argentina,ARG,2005,0.071719665
Argentina,ARG,2006,0.06964
Argentina,ARG,2007,0.061592999999999995
Argentina,ARG,2008,0.041951077999999996
Argentina,ARG,2009,0.036831528599999996
Argentina,ARG,2010,0.0253516062
Argentina,ARG,2011,0.02659055
Argentina,ARG,2012,0.369861999333
Argentina,ARG,2013,0.453354876
Argentina,ARG,2014,0.619491
Argentina,ARG,2015,0.593334963
Argentina,ARG,2016,0.547359
Argentina,ARG,2017,0.611567
Argentina,ARG,2018,1.412743
Argentina,ARG,2019,4.995966424
Asia Pacific,,1965,0
Asia Pacific,,1966,0
Asia Pacific,,1967,0
Asia Pacific,,1968,0
Asia Pacific,,1969,0
Asia Pacific,,1970,0
Asia Pacific,,1971,0
Asia Pacific,,1972,0
Asia Pacific,,1973,0
Asia Pacific,,1974,0
Asia Pacific,,1975,0
Asia Pacific,,1976,0
Asia Pacific,,1977,0
Asia Pacific,,1978,0
Asia Pacific,,1979,0
Asia Pacific,,1980,0
Asia Pacific,,1981,0
Asia Pacific,,1982,0
Asia Pacific,,1983,0
Asia Pacific,,1984,0
Asia Pacific,,1985,0
Asia Pacific,,1986,0
Asia Pacific,,1987,0
Asia Pacific,,1988,0
Asia Pacific,,1989,0
Asia Pacific,,1990,0.0323232323232323
Asia Pacific,,1991,0.122000909090909
Asia Pacific,,1992,0.22047404040404
Asia Pacific,,1993,0.311836666666667
Asia Pacific,,1994,0.583588080808081
Asia Pacific,,1995,1.12160131313131
Asia Pacific,,1996,0.9912050664848492
Asia Pacific,,1997,1.21395004149495
Asia Pacific,,1998,1.48955016659596
Asia Pacific,,1999,2.0532490063939397
Asia Pacific,,2000,2.56394697970469
Asia Pacific,,2001,3.51740941797741
Asia Pacific,,2002,4.06701324667883
Asia Pacific,,2003,5.34087585515362
Asia Pacific,,2004,9.18669339997316
Asia Pacific,,2005,12.019193605714099
Asia Pacific,,2006,18.5698071338417
Asia Pacific,,2007,24.651011017376
Asia Pacific,,2008,36.129284979930205
Asia Pacific,,2009,54.879514823186
Asia Pacific,,2010,81.5253556283363
Asia Pacific,,2011,113.632013920303
Asia Pacific,,2012,147.770371079641
Asia Pacific,,2013,188.80908059963699
Asia Pacific,,2014,214.83855020360298
Asia Pacific,,2015,243.33918162815
Asia Pacific,,2016,312.537164536835
Asia Pacific,,2017,388.00333711769304
Asia Pacific,,2018,463.71054237463204
Asia Pacific,,2019,514.259616422061
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.002
Australia,AUS,1994,0.0055
Australia,AUS,1995,0.006999999999999999
